Patient Id,Patient Gender,Patient Age,Department Referral,Patient Waittime,Arrival_Time,Day_of_Week,Emergency_Case_Type,Triage_Level,Queue_Length,Doctors_Available,Nurses_Available,Gender_Code,Day_Code,Emergency_Type_Code,Department_Code
145-39-5406,M,69,General,29,02:43,Thursday,Allergic Reaction,3,17,6,7,0,4,8,6
316-34-3057,M,4,Trauma,13,19:58,Monday,Accident,2,18,10,11,0,1,3,6
897-46-3852,F,56,Burn Unit,27,07:29,Sunday,Burn Injury,3,21,9,6,1,7,5,6
358-31-9711,F,24,General Medicine,22,08:50,Tuesday,Fever,4,6,10,5,1,2,10,5
289-26-0537,M,5,Neurology,15,11:25,Sunday,Stroke,1,18,5,9,0,7,2,2
255-51-2877,M,58,Pulmonology,15,05:23,Saturday,Breathing Problem,2,20,8,12,0,6,6,6
465-97-0990,F,68,General,13,12:24,Wednesday,Allergic Reaction,3,10,6,15,1,3,8,6
157-31-7520,F,47,General,32,23:05,Monday,Allergic Reaction,3,23,5,9,1,1,8,6
432-34-5614,F,79,Cardiology,5,12:51,Wednesday,Heart Attack,1,24,4,5,1,3,1,1
609-17-8678,M,62,Burn Unit,19,09:19,Tuesday,Burn Injury,3,22,10,12,0,2,5,6
497-14-6812,F,73,General Surgery,22,14:20,Saturday,Abdominal Pain,3,22,4,14,1,6,9,6
393-38-9502,F,16,Trauma,15,04:44,Friday,Accident,2,20,7,13,1,5,3,6
288-05-6370,F,16,General Surgery,25,07:25,Monday,Abdominal Pain,3,19,4,10,1,1,9,6
784-54-9931,M,46,Neurology,15,16:43,Monday,Stroke,1,20,10,13,0,1,2,2
662-21-6522,M,69,General Surgery,18,09:17,Thursday,Abdominal Pain,3,17,9,10,0,4,9,6
628-73-1801,M,37,Orthopedics,25,23:52,Friday,Fracture,3,21,4,14,0,5,4,4
370-19-2271,F,50,OB/GYN,10,15:46,Tuesday,Pregnancy Complication,2,10,8,12,1,2,12,6
458-98-8860,M,37,Cardiology,13,05:56,Wednesday,Heart Attack,1,24,7,11,0,3,1,1
728-31-2493,F,70,Trauma,6,06:44,Wednesday,Accident,2,7,3,14,1,3,3,6
823-34-5523,M,55,Neurology,4,14:52,Monday,Stroke,1,5,10,11,0,1,2,2
621-70-7472,F,63,Burn Unit,21,10:52,Tuesday,Burn Injury,3,19,8,12,1,2,5,6
344-36-7156,F,44,Burn Unit,24,18:21,Saturday,Burn Injury,3,12,6,5,1,6,5,6
455-21-3671,F,11,Pulmonology,5,02:46,Wednesday,Breathing Problem,2,12,10,10,1,3,6,6
259-10-0339,M,8,Cardiology,13,04:30,Friday,Heart Attack,1,9,7,11,0,5,1,1
720-54-2625,F,4,OB/GYN,10,22:58,Saturday,Pregnancy Complication,2,7,4,6,1,6,12,6
661-92-7059,M,42,General,24,16:54,Wednesday,Allergic Reaction,3,19,8,9,0,3,8,6
598-53-3927,F,68,Trauma,2,12:00,Wednesday,Accident,2,12,7,6,1,3,3,6
715-74-5338,M,22,Cardiology,14,21:44,Monday,Chest Pain,2,16,5,15,0,1,7,1
669-74-2146,F,58,General,11,08:05,Sunday,Allergic Reaction,3,7,3,14,1,7,8,6
693-38-2084,F,72,Pulmonology,6,12:24,Friday,Breathing Problem,2,9,6,15,1,5,6,6
548-93-9953,F,73,Pulmonology,8,21:52,Tuesday,Breathing Problem,2,23,9,10,1,2,6,6
334-76-4005,M,35,Orthopedics,4,03:05,Wednesday,Fracture,3,5,10,12,0,3,4,4
